,word
239,بات ٹلْنا
240,بات ٹُوٹْنا
241,بات ٹھانْنا
242,بات ٹَھنْڈی پَڑْنا
243,بات ٹََھَنْنا
244,بات ٹَھہرانا
245,بات ٹَھَہرْنا
246,بات ٹھیلْنا
247,بات جا پَڑْنا
248,بات جانا
249,بات جَبْ ہَے
250,بات جَتانا
251,بات جَڑْنا
252,بات جَمانا
253,بات جَمْنا
254,بات جَنانا
255,بات جو چاہے اپْنی پانی مانگ نَہ پی
256,بات جوڑْنا
257,بات جُوں تُوں کی کَرْنا
258,بات جی سے گَڑْھنا
259,بات جی سے گَھڑْنا
260,بات جی کو لَگْنا
261,بات جی میں بَیٹْھنا
262,بات جی میں پِھرْنا
263,بَھرائی
264,بات جی میں ڈالْنا
265,بات جی میں گَڑْنا
266,بات جی میں نَہ رَہْنا
267,بات جُھٹالْنا
268,بات جَھنڈے پَر چَڑھانا
269,بات جُھوٹی پَڑْنا
270,بات چَبا جانا
271,بات چَبا چَبا کَر کَرْنا
272,بات چَبا کَر کَہْنا
273,بات چَبانا
274,بات چِبِلّی ہے
275,بات چِپَک کے رَہ جانا
276,بات چِپَکْنا
277,بات چُٹْکِیوں میں اْڑانا
278,بات چُرا کے کَہْنا
279,بات چَلانا
280,بات چَل پَڑْنا
281,بات چَلْنا
282,بات چَلْنے نَہ دینا
283,بات چَلی جانا
284,بات چَندرا کے کَرنا
285,بات چَندرا کے کَہنا
286,چھوپا مارنا
287,بات چَندرانا
288,بات چِیت
289,بات چِیت کُھٹ ہونا
290,بات چِھڑْنا
291,بات چَھنْنا
292,بات چُھوٹنا
293,بات چھوٹی کرنا
294,رَکْھنا رَہْنا
295,رَکْھنا لَگانا
296,چیند چیندھ ہونا
297,بات چھیڑنا
298,بات چِھیلے رُکْھڑی کاٹْھ چِھیلے چِکنا
299,بات حَلْق سے نِیچے اُترنا
300,بات خالی جانا
301,بات خَتْم ہونا
302,اِسْتِقْرار حَق
303,اُلُّو بَنانا
304,اُلُّو بَنْنا
305,اُلُّو پَن پَنا
306,بات پَکّی کَرْنا
307,اُلُو
308,بات دینا
309,اُلُّوسِیدھا ہونا
310,بات رَکْھنا
311,بات رَکھ لینا
312,اُصُول لینا
313,اِسْتِنْقاع
314,اِسْتِوا کَرْنا
315,اپنی جَمانا
316,اپنی سی
317,پَرَسْت
318,اِسْٹار
319,لانا
320,خانَہ
321,دار داری
322,اِسْتیج کَرْنا
323,اِسْتیج ہونا
324,چُوا پَڑْنا
325,بَنانا
326,کَرْنا
327,ہونا
328,آنا پَٹ
329,آنا ہونا
330,اُسْرا
331,اَچُھوت پَن
332,چھاجا چھا جائِیل چھا جایِل
333,چھاچْھیا چھاچْھیَہ کھار
334,اِسْتِخارَہ آنا
335,اَسْرار کَرْنا
336,اَسْفَل سافِلِین
337,اِسْفَنْجْ کَرْنا
338,اَبْدال
339,اِسْکات
340,اَبْر اُٹْھنا
341,اِسْکِرِپْٹ
342,اَبْر اُمَنڈنا
343,اِسْکَرْٹ
344,اُسْکُرُجہَّ
345,اَبْر ِ آذار
346,اِسکُرُو
347,اَبْر ِ آذاری
348,اِسکُرُو ڈِرائِیوَر
349,اِسْکِرِین
350,اَبْر ِ آذَری
351,اِسْکِرینِنْگ
352,اَچھوں اَچھوں
353,اِسْکْنَدْ
354,اَبْر آنا
355,چَوالیس
356,اَبْر ِ باراں
357,اِسْکَنْدَر
358,اَبْر بَرَسنا
359,اِسْکَنْدَری
360,اَبْر ِ بَہار
361,اِسْکُواڈْرَن
362,اَبْر ِ بَہاراں
363,اِسْکُواش
364,اَبْر ِ بَہاری
365,اِسْکُوائِر
366,اَبْر ِ بَہْمَن
367,اَظْہار
368,اِسْکوپ
369,اَچّھے
370,اِسْکُوْٹُر
371,اِسْکور
372,اَبْر ِ بَہْمَنی
373,اَبْر پَھٹنا
374,اِسْکُوْل
375,اِسْکولَر
376,اَبْر ِ تَر
377,اِسْکُولی
378,اِسْکوِئر
379,اَبْر ِ تُنُک
380,اِسکوائشِ
381,اِسْکیٹِنْگ
382,اَبْر ِ تِیْرَہ
383,اِسْکیچ
384,اَبْر ِ تیْغ
385,اَبْر ِ جوشاں
386,اَظْہاری
387,اَبْر چھانا
388,اِسْکیل
389,اَظْہارِیَہ
390,اَبْر چَھٹنا
391,اَبْر ِ دریا بار
392,اَبْر ِ رَبِیْع
393,اَبْر ِ رَحْمَت
394,اَبْر ِ رَواں
395,اِحْتِرازی
396,اَعادَہ
397,اَعادَہ ءِ مَعْدُوم
398,احْتِراقی
399,اَعادی
400,اِعارَہ
401,اَعاصِر
402,اَعاظِم
403,اَعالی
404,اِعانَت
405,اِعانَت بَمَشْوَرَہ
406,اِعانَہ
407,اَعْبا
408,اِحْتِشامی
409,اِعْتاق
410,اِعْتاق نامَہ
411,اِعْتِبار
412,رَکْھنا کَرْنا
413,اِحْتِیاج مَنْد
414,اِعْتِبار اُٹْھنا
415,اِعْتِبار آنا
416,اِعْتِبار پَکَڑْنا
417,اِعْتِبار پانا
418,اِعْتِبار جانا
419,اِعْتِبار جَمانا
420,اِعْتِبار جَمْنا
421,اِعْتِبار سے گِرْنا
422,اِعْتِبار کھونا
423,اَحْجار
424,اَحَد
425,اَحَد الْمُتَخاصِمَیْن
426,اَحَدی
427,اَنوکھی جُرْوا ساگ میں شُرْوا
428,اَحَدِیَّت
